Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_Tax,Food Charges,Luggage Charges
0,3,0,22.0,1,0,7.25,0,2.175,10.875,4.35
1,1,1,38.0,1,0,71.2833,1,21.38499,106.92495,42.76998
1,3,1,26.0,0,0,7.925,0,2.3775,11.8875,4.755
1,1,1,35.0,1,0,53.1,0,15.93,79.65,31.86
0,3,0,35.0,0,0,8.05,0,2.415,12.075,4.83
0,1,0,54.0,0,0,51.8625,0,15.55875,77.79375,31.1175
0,3,0,2.0,3,1,21.075,0,6.3225,31.6125,12.645
1,3,1,27.0,0,2,11.1333,0,3.33999,16.69995,6.67998
1,2,1,14.0,1,0,30.0708,1,9.02124,45.1062,18.04248
1,3,1,4.0,1,1,16.7,0,5.01,25.05,10.02
1,1,1,58.0,0,0,26.55,0,7.965,39.825,15.93
0,3,0,20.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,39.0,1,5,31.275,0,9.3825,46.9125,18.765
0,3,1,14.0,0,0,7.8542,0,2.35626,11.7813,4.71252
1,2,1,55.0,0,0,16.0,0,4.8,24.0,9.6
0,3,0,2.0,4,1,29.125,2,8.7375,43.6875,17.475
0,3,1,31.0,1,0,18.0,0,5.4,27.0,10.8
0,2,0,35.0,0,0,26.0,0,7.8,39.0,15.6
1,2,0,34.0,0,0,13.0,0,3.9,19.5,7.8
1,3,1,15.0,0,0,8.0292,2,2.40876,12.0438,4.81752
1,1,0,28.0,0,0,35.5,0,10.65,53.25,21.3
0,3,1,8.0,3,1,21.075,0,6.3225,31.6125,12.645
1,3,1,38.0,1,5,31.3875,0,9.41625,47.08125,18.8325
0,1,0,19.0,3,2,263.0,0,78.9,394.5,157.8
0,1,0,40.0,0,0,27.7208,1,8.31624,41.5812,16.63248
0,2,0,66.0,0,0,10.5,0,3.15,15.75,6.3
0,1,0,28.0,1,0,82.1708,1,24.65124,123.2562,49.30248
0,1,0,42.0,1,0,52.0,0,15.6,78.0,31.2
0,3,0,21.0,0,0,8.05,0,2.415,12.075,4.83
0,3,1,18.0,2,0,18.0,0,5.4,27.0,10.8
1,3,1,14.0,1,0,11.2417,1,3.37251,16.86255,6.74502
0,3,1,40.0,1,0,9.475,0,2.8425,14.2125,5.685
0,2,1,27.0,1,0,21.0,0,6.3,31.5,12.6
1,2,1,3.0,1,2,41.5792,1,12.47376,62.3688,24.94752
1,3,1,19.0,0,0,7.8792,2,2.36376,11.8188,4.72752
0,3,1,18.0,1,0,17.8,0,5.34,26.7,10.68
0,3,0,7.0,4,1,39.6875,0,11.90625,59.53125,23.8125
0,3,0,21.0,0,0,7.8,0,2.34,11.7,4.68
1,1,1,49.0,1,0,76.7292,1,23.01876,115.0938,46.03752
1,2,1,29.0,1,0,26.0,0,7.8,39.0,15.6
0,1,0,65.0,0,1,61.9792,1,18.59376,92.9688,37.18752
1,2,1,21.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,28.5,0,0,7.2292,1,2.16876,10.8438,4.33752
1,2,1,5.0,1,2,27.75,0,8.325,41.625,16.65
0,3,0,11.0,5,2,46.9,0,14.07,70.35,28.14
0,3,0,22.0,0,0,7.2292,1,2.16876,10.8438,4.33752
0,1,0,45.0,1,0,83.475,0,25.0425,125.2125,50.085
0,3,0,4.0,3,2,27.9,0,8.37,41.85,16.74
1,2,1,29.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,19.0,0,0,8.1583,0,2.44749,12.23745,4.89498
1,3,1,17.0,4,2,7.925,0,2.3775,11.8875,4.755
0,3,0,26.0,2,0,8.6625,0,2.59875,12.99375,5.1975
0,2,0,32.0,0,0,10.5,0,3.15,15.75,6.3
0,3,1,16.0,5,2,46.9,0,14.07,70.35,28.14
0,2,0,21.0,0,0,73.5,0,22.05,110.25,44.1
0,3,0,26.0,1,0,14.4542,1,4.33626,21.6813,8.67252
1,3,0,32.0,0,0,56.4958,0,16.94874,84.7437,33.89748
0,3,0,25.0,0,0,7.65,0,2.295,11.475,4.59
1,2,0,0.83,0,2,29.0,0,8.7,43.5,17.4
1,3,1,30.0,0,0,12.475,0,3.7425,18.7125,7.485
0,3,0,22.0,0,0,9.0,0,2.7,13.5,5.4
1,3,0,29.0,0,0,9.5,0,2.85,14.25,5.7
0,1,0,28.0,0,0,47.1,0,14.13,70.65,28.26
1,2,1,17.0,0,0,10.5,0,3.15,15.75,6.3
1,3,1,33.0,3,0,15.85,0,4.755,23.775,9.51
0,3,0,16.0,1,3,34.375,0,10.3125,51.5625,20.625
1,1,1,23.0,3,2,263.0,0,78.9,394.5,157.8
0,3,0,24.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,29.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,20.0,0,0,7.8542,0,2.35626,11.7813,4.71252
0,1,0,46.0,1,0,61.175,0,18.3525,91.7625,36.705
0,3,0,26.0,1,2,20.575,0,6.1725,30.8625,12.345
0,3,0,59.0,0,0,7.25,0,2.175,10.875,4.35
